region,indicator,value,year
ES42,median_age,45.4,2025
ES43,median_age,47.8,2025
ES21,median_age,48.3,2025
ES23,median_age,47.0,2025
ES24,median_age,47.0,2025
SE33,median_age,42.4,2025
EL62,median_age,48.5,2025
EL64,median_age,49.2,2025
SI04,median_age,44.6,2025
ES22,median_age,45.7,2025
AT32,median_age,43.8,2025
NO0A,median_age,40.3,2025
AT33,median_age,43.6,2025
PL21,median_age,41.7,2025
AT31,median_age,43.7,2025
PL51,median_age,43.8,2025
AT11,median_age,49.3,2025
AT22,median_age,45.6,2025
AT12,median_age,46.2,2025
AT13,median_age,39.6,2025
AT21,median_age,48.0,2025
UKJ,pop_density,479.6,2018
UKF,pop_density,307.0,2018
UKG,pop_density,453.2,2018
UKI,pop_density,5691.3,2018
UKD,pop_density,516.5,2018
UKC,pop_density,309.3,2018
UKH,pop_density,325.2,2018
UKN,pop_density,138.7,2018
UKL,pop_density,151.0,2018
UKE,pop_density,355.3,2018
UKK,pop_density,234.8,2018
UKM,pop_density,69.9,2018
RS12,pop_density,87.4,2019
RS21,pop_density,72.4,2019
RS22,pop_density,57.2,2019
